	rab.all	rab.win.S	rab.win.W	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
YHR215W	-1.05926485658738	-1.43823610130717	2.84720476735761	4.34429334166847	0.51353128630618	7.9622857537585	0.00175147641157519	2.70462603210856e-08	2.2435485017134e-05	0.00252525252525253	0.0288760999853479
YHR216W	2.10171126581862	2.04141342247276	2.30461323757142	0.836966596307937	0.903941912197646	0.973616192246372	0.219532473904943	0.0430891687271244	0.174885736290392	0.0629734848484848	0.216029083003916
YHR218W	-1.13227912265925	-0.820812548965002	-1.79163755810452	-0.942931726302107	1.40825470303304	-1.00552683837279	0.125044570363034	0.0598778211434185	0.215230895141799	0.0206755050505051	0.103715606654001
YHR219W	1.89928522323405	2.28604275887602	1.22223556023733	-1.03267315215449	0.372815134170044	-2.81466396460328	0.00175147641157519	7.37669931259468e-05	0.00363729521680713	0.00252525252525253	0.0288760999853479
YIL001W	-0.928416240679385	-1.01244087926663	-0.868828087744271	0.150758552761998	0.403907787086243	0.261142403088208	0.325010383765953	0.329938294175805	0.541165594346073	0.508996212121212	0.695928778813878
YIL002C	0.92568253155842	0.754155251753238	1.1143968653284	0.256071666519198	0.60940120432319	0.386673484122211	0.365860822647333	0.614950022229536	0.803208865558051	0.496685606060606	0.75002508409447
YIL002W-A	0.933371395309464	0.605707386788079	1.09286914571025	0.388396146023382	0.662905876979975	0.498277519265069	0.325010383765953	0.255067098756898	0.510404566986513	0.310606060606061	0.588044259575827
YIL003W	-0.42457749239973	-0.354170835374431	-0.480461135884555	-0.120350260690077	0.608470272027308	-0.240789255153292	0.341472149901524	0.437615654797059	0.67603371651001	0.539614898989899	0.771084229958304
YIL004C	-0.241250477973581	-0.244342091738311	-0.231367359385056	0.0733915102804774	0.408401043354222	0.108365537900294	0.450002629880113	0.653174398002782	0.817720449159189	0.77114898989899	0.903689007748088
YIL005W	1.51164777692473	1.62234791429573	1.45484763766528	-0.289397342018589	0.934573880442171	-0.315652930235113	0.317083637245523	0.319482485115236	0.582071336617438	0.350536616161616	0.635176634893455
YIL006W	0.0035096251395812	0.0509251282200234	-0.168913107307774	-0.711975801528804	1.37656505622469	-0.52703256731263	0.2750146885301	0.197596240857475	0.446794597360435	0.35290404040404	0.629425721927782
YIL007C	0.463447662401955	0.671657695602383	0.337783605208807	-0.337797978492831	0.477367213567391	-0.559593973513587	0.268307305172865	0.171100056106511	0.402411162682672	0.219065656565657	0.475934468953187
YIL008W	0.557150218611788	0.381858675316302	0.874751437672743	0.440534455165629	0.393031219881532	1.02424157828332	0.0976174843959045	0.0334910195208011	0.138363251533241	0.0475063131313131	0.171478573897126
YIL009C-A	-0.189542125802109	-0.261741444223013	-0.101627515743282	0.178644317926071	0.59125708350378	0.362616788062069	0.325010383765953	0.620416226940216	0.801687144894651	0.526357323232323	0.76134923812194
YIL009W	-0.0480139746139416	-0.240611092386989	0.246667291614616	0.457066790608095	0.458131596281796	0.901966588675582	0.15003570233448	0.0689050121214833	0.230062667307795	0.060290404040404	0.20711631422999
YIL010W	0.229790827264749	0.264845662922233	0.183266126317299	0.0189205995838044	0.480526364244916	0.043651632704488	0.450002629880113	0.857599013015587	0.937279165476362	0.907354797979798	0.965886261165279
YIL011W	-0.259889212060798	-1.09678616662461	0.545268120092479	1.52090492354961	0.543492667497111	2.64403777895423	0.00175147641157519	0.000134870820010087	0.00518432497493784	0.00252525252525253	0.0288760999853479
YIL013C	-0.34983237683724	-0.442278123293656	0.0982405835457394	0.43320869514259	0.578401300203353	0.76492048971446	0.268307305172865	0.273888977860187	0.526446520438114	0.301925505050505	0.567880092771752
YIL014C-A	-1.69630660536678	-1.48648002522723	-2.34639660135895	-0.928930093510035	0.805935765091465	-1.00178080858612	0.1000577262803	0.0294672602898728	0.131062440153053	0.0476641414141414	0.17486111650024
YIL014W	1.04110785742619	1.22215334285361	0.843756959335714	-0.3319979484811	0.359436907588256	-0.821020956495308	0.175029285622464	0.0860327867902859	0.266879761028797	0.0946969696969697	0.278214790373096
YIL015W	-0.0889318778325929	-0.254259465175775	0.559129660516881	0.666995093727822	0.496861650007744	1.36283991716856	0.1000577262803	0.0222462145870104	0.107315937185078	0.0258838383838384	0.113528641933459
YIL016W	1.48438214858752	1.50906646541154	0.574373961516567	-0.34329420199833	1.17326644455562	-0.462019556805506	0.24391964199069	0.345634346924422	0.608264356849499	0.357638888888889	0.633952475853894
YIL017C	1.54856159948362	1.93018031001941	1.29514505926131	-0.47758041487683	0.448150581925479	-1.12394707461952	0.0252449755558925	0.00337716703707396	0.0338247065325698	0.00710227272727273	0.05101920823508
YIL018W	5.5746839127935	6.13903818951125	4.60302978553759	0.163678105683656	2.14862923930913	0.047905776732214	0.487805482839447	0.971248019593724	0.987810143140723	0.876262626262626	0.953944161451541
YIL019W	0.231529004052236	-0.33030779128576	0.672669784596709	0.902946594623788	0.564426558051105	1.42821205181265	0.0501221854103181	0.00224483114148426	0.0266705489095926	0.00741792929292929	0.0539580308327552
YIL020C	-0.336937170386802	-0.821632719052159	0.0626901267341413	0.888747355205942	0.478689598110807	1.71030689127481	0.0501221854103181	0.00447248883741353	0.0401694478299138	0.0219381313131313	0.107439290626485
